2020-09-11 23:04:07,771 [Worker-186] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:04:39,493 [Worker-185] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:04:39,506 [Worker-185] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2020-09-11 23:04:39,519 [Worker-185] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:04:39,523 [Worker-185] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:05:04,466 [Worker-183] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:04,478 [Worker-183] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2020-09-11 23:05:04,490 [Worker-183] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:04,492 [Worker-183] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:05:08,206 [Worker-187] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:08,230 [Worker-187] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2020-09-11 23:05:08,252 [Worker-187] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:08,256 [Worker-187] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:05:15,287 [Worker-183] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:15,311 [Worker-183] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
2020-09-11 23:05:15,334 [Worker-183] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:15,337 [Worker-183] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-11 23:05:24,741 [Worker-186] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-11 23:05:24,754 [Worker-186] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 18 resources
